,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
19,Oklahoma City Thunder,82.00,40.00,42.00,0.49,48.40,117.50,43.10,92.60,46.50,12.10,34.10,35.60,19.20,23.70,80.90,11.40,32.30,43.70,24.40,13.00,8.20,4.20,5.50,21.00,20.40,1.10
21,Dallas Mavericks,82.00,38.00,44.00,0.46,48.60,114.20,40.00,84.30,47.50,15.20,41.00,37.10,19.00,25.10,75.50,7.60,31.20,38.80,22.90,12.20,6.30,3.70,3.80,20.70,21.80,0.10
22,Utah Jazz,82.00,37.00,45.00,0.45,48.30,117.10,42.50,89.80,47.30,13.30,37.80,35.30,18.70,23.80,78.60,11.80,34.10,45.90,26.00,15.40,6.10,5.20,4.90,20.50,20.50,-0.90
23,Indiana Pacers,82.00,35.00,47.00,0.43,48.20,116.30,42.00,89.60,46.90,13.60,37.00,36.70,18.70,23.70,79.00,10.10,31.40,41.50,27.00,14.90,7.70,5.80,5.30,21.20,20.20,-3.20
23,Washington Wizards,82.00,35.00,47.00,0.43,48.20,113.20,42.10,86.90,48.50,11.30,31.70,35.60,17.60,22.40,78.50,9.40,34.20,43.60,25.40,14.10,6.80,5.20,5.00,18.80,19.40,-1.20
25,Orlando Magic,82.00,34.00,48.00,0.42,48.20,111.40,40.50,86.30,47.00,10.80,31.10,34.60,19.60,25.00,78.40,10.20,33.10,43.20,23.20,15.10,7.40,4.70,5.10,20.10,20.50,-2.60
26,Portland Trail Blazers,82.00,33.00,49.00,0.40,48.10,113.40,40.50,85.40,47.40,12.90,35.30,36.50,19.60,24.60,79.60,9.40,31.10,40.50,24.20,14.50,6.70,4.60,4.30,20.00,20.50,-4.00
27,Charlotte Hornets,82.00,27.00,55.00,0.33,48.40,111.00,41.30,90.40,45.70,10.70,32.50,33.00,17.60,23.60,74.90,11.00,33.50,44.50,25.10,14.20,7.70,5.20,5.70,20.30,20.30,-6.20
28,Houston Rockets,82.00,22.00,60.00,0.27,48.20,110.70,40.60,88.90,45.70,10.40,31.90,32.70,19.10,25.30,75.40,13.40,32.90,46.30,22.40,16.20,7.30,4.60,6.20,20.50,20.60,-7.90
28,San Antonio Spurs,82.00,22.00,60.00,0.27,48.40,113.00,43.10,92.60,46.50,11.10,32.20,34.50,15.80,21.20,74.30,11.80,31.90,43.70,27.20,15.30,7.00,3.90,5.30,19.90,18.50,-10.00
30,Detroit Pistons,82.00,17.00,65.00,0.21,48.30,110.30,39.60,87.10,45.40,11.40,32.40,35.10,19.80,25.70,77.10,11.20,31.30,42.40,23.00,15.10,7.00,3.80,5.50,22.10,21.00,-8.20
