No.,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College,Player-additional
42,Mark Acres,C,11-Jun,220,November 15 1962,us,4,Oral Roberts,acresma01
25,Nick Anderson,SG,6-Jun,205,January 20 1968,us,2,Illinois,anderni01
14,Anthony Bowie,SG,6-Jun,190,November 9 1963,us,2,Oklahoma,bowiean01
33,Terry Catledge,PF,8-Jun,220,August 22 1963,us,6,University of South Alabama,catlete01
13,Chris Corchiani,PG,Jun-00,185,March 28 1968,us,0,NC State,corchch01
8,Bison Dele,PF,9-Jun,235,April 6 1969,us,0,Maryland Arizona,delebi01
15,Sean Higgins,PF,9-Jun,205,December 30 1968,us,1,Michigan,higgise01
34,Greg Kite,C,11-Jun,250,August 5 1961,us,8,BYU,kitegr01
35,Jerry Reynolds,SG,8-Jun,200,December 23 1962,us,6,LSU,reynoje01
53,Stanley Roberts,C,Jul-00,285,February 7 1970,us,0,LSU,roberst01
3,Dennis Scott,SF,8-Jun,229,September 5 1968,us,1,Georgia Tech,scottde01
4,Scott Skiles,PG,1-Jun,180,March 5 1964,us,5,Michigan State,skilesc01
32,Otis Smith,SG,5-Jun,210,January 30 1964,us,5,Jacksonville University,smithot01
5,Stephen Thompson,SG,4-Jun,185,December 2 1968,us,0,Syracuse,thompst01
31,Jeff Turner,SF,9-Jun,230,April 9 1962,us,5,Vanderbilt,turneje01
11,Sam Vincent,PG,2-Jun,185,May 18 1963,us,6,Michigan State,vincesa01
20,Morlon Wiley,PG,4-Jun,185,September 24 1966,us,3,Cal State Long Beach,wileymo01
