No.,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College,Player-additional
21,Robert Archibald,PF,11-Jun,250,March 29 1980,gb,1,Illinois,archiro01
3,Keith Bogans,SF,5-Jun,215,May 12 1980,us,0,Kentucky,boganke01
55,Andrew DeClercq,C,10-Jun,230,February 1 1973,us,8,Florida,declean01
13,Derrick Dial,SG,4-Jun,184,December 20 1975,us,3,Eastern Michigan,dialde01
22,Reece Gaines,PG,6-Jun,205,January 7 1981,us,0,Louisville,gainere01
8,Pat Garrity,PF,9-Jun,238,August 23 1976,us,5,Notre Dame,garripa01
7,Gordan Giricek,SF,6-Jun,210,June 20 1977,hr,1,,giricgo01
0,Drew Gooden,PF,10-Jun,250,September 24 1981,us,1,Kansas,goodedr01
4,Donnell Harvey,PF,8-Jun,220,August 26 1980,us,3,Florida,harvedo01
5,Juwan Howard,PF,9-Jun,240,February 7 1973,us,9,Michigan,howarju01
34,Steven Hunter,C,Jul-00,220,October 31 1981,us,2,DePaul,huntest01
31,Britton Johnsen,C,10-Jun,210,July 8 1979,us,0,Utah,johnsbr01
10,Tyronn Lue,PG,Jun-00,175,May 3 1977,us,5,Nebraska,luety01
1,Tracy McGrady,SG,8-Jun,210,May 24 1979,us,6,,mcgratr01
4,Lee Nailon,SF,9-Jun,238,February 22 1975,us,3,Butler County Community College TCU,nailole01
27,Zaza Pachulia,C,11-Jun,270,February 10 1984,ge,0,,pachuza01
26,Desmond Penigar,PF,7-Jun,245,July 16 1981,us,0,Utah State University,penigde01
45,Sean Rooks,C,10-Jun,250,September 9 1969,us,11,Arizona,rooksse01
2,DeShawn Stevenson,SF,5-Jun,210,April 3 1981,us,3,,stevede01
31,Rod Strickland,PG,3-Jun,175,July 11 1966,us,15,DePaul,stricro02
11,Shammond Williams,SG,1-Jun,201,April 5 1975,us,5,UNC,willish01
