No.,Player,Pos,Height,Wt,Birth Date,Age,Country,Exp,College,Player-additional
25,Nick Anderson,SF,6.5,205,1/20/1968,30,us,9,Illinois,anderni01
2,B.J. Armstrong,PG,6.166666667,175,9/9/1967,31,us,9,Iowa,armstbj01
10,Darrell Armstrong,PG,6,170,6/22/1968,30,us,4,Fayetteville State University,armstda01
8,Isaac Austin,C,6.833333333,255,8/18/1969,29,us,5,Arizona State,austiis01
51,Michael Doleac,C,6.916666667,262,6/15/1977,21,us,0,Utah,doleami01
54,Horace Grant,PF,6.833333333,215,7/4/1965,33,us,11,Clemson,grantho01
1,Anfernee Hardaway,SG,6.583333333,195,7/18/1971,27,us,5,Memphis,hardaan01
15,Matt Harpring,SF,6.583333333,231,5/31/1976,22,us,0,Georgia Tech,harprma01
52,Jonathan Kerner,C,6.916666667,245,6/6/1974,24,us,0,Florida State East Carolina University,kernejo01
3,Kevin Ollie,PG,6.333333333,195,12/27/1972,26,us,1,UConn,ollieke01
45,Bo Outlaw,PF,6.666666667,210,4/13/1971,27,us,5,South Plains College Houston,outlabo01
11,Doug Overton,PG,6.25,190,8/3/1969,29,us,6,La Salle,overtdo01
24,Danny Schayes,C,6.916666667,235,5/10/1959,39,us,17,Syracuse,schayda01
34,Miles Simon,SG,6.25,202,11/21/1975,23,se,0,Arizona,simonmi01
33,Derek Strong,PF,6.666666667,220,2/9/1968,30,us,7,Xavier,stronde01
21,Dominique Wilkins,SF,6.666666667,215,1/12/1960,38,fr,14,Georgia,wilkido01
9,Gerald Wilkins,SG,6.5,185,9/11/1963,35,us,12,Chattanooga,wilkige01
