No.,Player,Pos,Height,Wt,Birth Date,Age,Country,Exp,College,Player-additional
25,Nick Anderson,SG,6.5,205,1/20/1968,27,us,6,Illinois,anderni01
10,Darrell Armstrong,PG,6,170,6/22/1968,27,us,1,Fayetteville State University,armstda01
24,Anthony Bonner,PF,6.666666667,215,6/8/1968,27,us,5,Saint Louis,bonnean01
14,Anthony Bowie,SG,6.5,190,11/9/1963,32,us,6,Oklahoma,bowiean01
54,Horace Grant,PF,6.833333333,215,7/4/1965,30,us,8,Clemson,grantho01
43,Geert Hammink,C,7,262,7/12/1969,26,nl,2,LSU,hammige01
1,Anfernee Hardaway,PG,6.583333333,195,7/18/1971,24,us,2,Memphis,hardaan01
45,Jon Koncak,C,7,250,5/17/1963,32,us,10,SMU,koncajo01
32,Shaquille O'Neal,C,7.083333333,325,3/6/1972,23,us,3,LSU,onealsh01
5,Donald Royal,SF,6.666666667,210,5/22/1966,29,us,5,Notre Dame,royaldo01
3,Dennis Scott,SF,6.666666667,229,9/5/1968,27,us,5,Georgia Tech,scottde01
20,Brian Shaw,PG,6.5,190,3/22/1966,29,us,6,Saint Mary's UC Santa Barbara,shawbr01
22,Brooks Thompson,PG,6.333333333,193,7/19/1970,25,us,1,Texas A&M Oklahoma State,thompbr01
31,Jeff Turner,PF,6.75,230,4/9/1962,33,us,9,Vanderbilt,turneje01
42,David Vaughn,PF,6.75,240,3/23/1973,22,us,0,Memphis,vaughda02
12,Joe Wolf,PF,6.916666667,230,12/17/1964,31,us,7,UNC,wolfjo01
